feature_a,feature_b,abs_corr
Active Std,Subflow Fwd Packets,0.238370995897355
Active Std,Total Fwd Packets,0.238370995897355
Init_Win_bytes_forward,Fwd IAT Max,0.23824723674425288
Idle Mean,Init_Win_bytes_forward,0.23814972847359242
Avg Bwd Segment Size,Fwd Packet Length Max,0.23663668241590227
Bwd Packet Length Mean,Fwd Packet Length Max,0.23663668241590224
Packet Length Std,Bwd Packet Length Min,0.23587165484436529
Max Packet Length,Bwd Packet Length Min,0.23570712223361623
Packet Length Std,Fwd Packet Length Max,0.2355793219303042
Active Mean,Bwd IAT Max,0.23249909928797793
Max Packet Length,Fwd IAT Mean,0.23216544444797796
Avg Fwd Segment Size,Max Packet Length,0.23063979354653746
Max Packet Length,Fwd Packet Length Mean,0.23063979354653746
Bwd Packet Length Mean,Total Length of Fwd Packets,0.23060162826503527
Subflow Fwd Bytes,Bwd Packet Length Mean,0.23060162826503525
Avg Bwd Segment Size,Total Length of Fwd Packets,0.23060162826503453
Subflow Fwd Bytes,Avg Bwd Segment Size,0.23060162826503453
Active Min,Bwd IAT Max,0.22943903353146813
Active Mean,Bwd IAT Std,0.22812340193541888
Idle Std,Fwd Packet Length Std,0.2278054820245889
Active Min,Bwd IAT Std,0.22661583168807883
Packet Length Mean,Bwd Packet Length Min,0.22630909508340677
Idle Std,Fwd Packet Length Max,0.22584798032727865
Idle Std,PSH Flag Count,0.2256833912003747
Packet Length Std,Fwd IAT Max,0.22442814763524324
Average Packet Size,URG Flag Count,0.22404544008046642
Avg Bwd Segment Size,Fwd Packet Length Std,0.2232311929043873
Bwd Packet Length Mean,Fwd Packet Length Std,0.2232311929043864
Subflow Fwd Bytes,Max Packet Length,0.2228756771029407
Max Packet Length,Total Length of Fwd Packets,0.22287567710294068
Active Max,Bwd IAT Max,0.22179383848966905
Fwd Packet Length Min,Destination Port,0.22176803968052067
Subflow Fwd Packets,Fwd IAT Total,0.22175173359026423
Fwd IAT Total,Total Fwd Packets,0.22175173359026423
min_seg_size_forward,Avg Bwd Segment Size,0.22031752472586655
min_seg_size_forward,Bwd Packet Length Mean,0.22031752472586622
Bwd Packet Length Max,Fwd Packet Length Max,0.2200914493092044
URG Flag Count,Packet Length Mean,0.21925570212513742
Total Fwd Packets,Flow Duration,0.21916092935933484
Subflow Fwd Packets,Flow Duration,0.21916092935933484
Idle Std,Subflow Fwd Bytes,0.2184538069503094
Idle Std,Total Length of Fwd Packets,0.2184538069503094
min_seg_size_forward,Packet Length Variance,0.21844889844309667
Idle Max,Packet Length Std,0.21814624458666085
Average Packet Size,Bwd Packet Length Min,0.21764244746175743
Idle Std,Fwd Packet Length Mean,0.21761152715030205
Idle Std,Avg Fwd Segment Size,0.21761152715030205
Active Max,Bwd IAT Std,0.2175135880324305
Init_Win_bytes_forward,URG Flag Count,0.2168049317633556
Packet Length Std,Flow IAT Max,0.2165034587360967
min_seg_size_forward,Bwd Packet Length Std,0.21611705790781377
Bwd Packet Length Std,Fwd Packet Length Max,0.2145015173024441
min_seg_size_forward,Bwd Packet Length Max,0.21444002108059043
Subflow Fwd Bytes,Bwd Packet Length Max,0.2142389145274548
Bwd Packet Length Max,Total Length of Fwd Packets,0.21423891452745478
Init_Win_bytes_forward,Fwd IAT Mean,0.21384330841008256
Down/Up Ratio,Fwd IAT Mean,0.2132800468817884
Bwd IAT Min,Flow IAT Std,0.21283772887754238
Packet Length Std,Fwd IAT Std,0.21264720581442417
Bwd Packet Length Std,Bwd Packet Length Min,0.21205561051237665
Bwd Packet Length Std,Total Length of Fwd Packets,0.2117870073283507
Subflow Fwd Bytes,Bwd Packet Length Std,0.2117870073283507
Min Packet Length,Flow Duration,0.20998097663832738
Fwd IAT Min,Flow IAT Std,0.20858336124689383
ACK Flag Count,Min Packet Length,0.20790054716053277
act_data_pkt_fwd,Fwd IAT Total,0.207724550299158
Bwd Packet Length Max,Fwd Packet Length Std,0.2075684655852808
Active Mean,Bwd IAT Total,0.20744021456225062
Min Packet Length,Fwd IAT Std,0.20721839448122878
Bwd Packet Length Min,Bwd Packet Length Max,0.20705362649550088
Down/Up Ratio,Flow IAT Mean,0.20633001557736166
Subflow Bwd Packets,Bwd IAT Total,0.20487985804551814
Bwd IAT Total,Total Backward Packets,0.20487985804551814
Bwd Header Length,Bwd IAT Total,0.2045996824183146
act_data_pkt_fwd,Flow Duration,0.2044690155241878
Active Max,Subflow Fwd Packets,0.20378237411149702
Active Max,Total Fwd Packets,0.20378237411149702
Min Packet Length,Flow IAT Max,0.20242601380575495
Down/Up Ratio,Flow Duration,0.20233358506074667
Min Packet Length,Fwd IAT Total,0.2022921219380509
PSH Flag Count,Bwd Packet Length Min,0.2021406431833877
Bwd Packet Length Std,Fwd Packet Length Std,0.20162566594717127
Idle Std,Packet Length Std,0.20130598295016963
Packet Length Variance,Fwd Packet Length Std,0.20072092924246226
Down/Up Ratio,Flow IAT Std,0.19988951139441757
Fwd Header Length,Fwd IAT Total,0.19973426587950063
Fwd Header Length.1,Fwd IAT Total,0.19973426587950063
ACK Flag Count,Bwd IAT Std,0.19873063430497775
min_seg_size_forward,ACK Flag Count,0.19853325011512185
Fwd Header Length,Flow Duration,0.19740861099439533
Fwd Header Length.1,Flow Duration,0.19740861099439533
Packet Length Variance,Bwd Packet Length Min,0.1973070103717595
Active Min,ACK Flag Count,0.19685281059596776
Avg Bwd Segment Size,Bwd IAT Max,0.19658703084513052
Bwd IAT Max,Bwd Packet Length Mean,0.19658703084512988
Active Min,Max Packet Length,0.1963395873775529
Packet Length Std,Fwd IAT Total,0.19595843651880487
Idle Max,Min Packet Length,0.19580482354518877
Avg Bwd Segment Size,Bwd IAT Std,0.1957337536757362
Bwd IAT Std,Bwd Packet Length Mean,0.1957337536757355
Packet Length Std,Fwd Packet Length Mean,0.19480559326792812
Avg Fwd Segment Size,Packet Length Std,0.1948055932679281
Min Packet Length,Fwd IAT Max,0.19474925414570451
Idle Max,Down/Up Ratio,0.19473962679487483
Avg Bwd Segment Size,Bwd Packet Length Min,0.19452971322848522
Bwd Packet Length Mean,Bwd Packet Length Min,0.19452971322848395
Active Max,Total Length of Fwd Packets,0.1944704029504792
Active Max,Subflow Fwd Bytes,0.1944704029504792
Subflow Bwd Bytes,Avg Bwd Segment Size,0.19443770959565504
Avg Bwd Segment Size,Total Length of Bwd Packets,0.19443770959565504
Bwd Packet Length Mean,Total Length of Bwd Packets,0.19443770959562945
Subflow Bwd Bytes,Bwd Packet Length Mean,0.1944377095956294
Down/Up Ratio,Flow IAT Max,0.1943746382183816
Bwd IAT Min,Bwd IAT Max,0.1934252831379775
Avg Bwd Segment Size,Bwd IAT Total,0.19314125255512976
Bwd IAT Total,Bwd Packet Length Mean,0.19314125255512893
Idle Min,Fwd Packet Length Max,0.1911957559820716
Active Mean,Max Packet Length,0.19116041113422216
Idle Max,Bwd Packet Length Mean,0.19079177822467064
Idle Max,Avg Bwd Segment Size,0.19079177822466836
Active Mean,ACK Flag Count,0.19057302275337729
Packet Length Std,Flow Duration,0.1895646294705594
Idle Min,Max Packet Length,0.18919212599221713
Init_Win_bytes_backward,Init_Win_bytes_forward,0.18911147510537982
Flow IAT Max,Bwd Packet Length Mean,0.18903678364751583
Avg Bwd Segment Size,Flow IAT Max,0.18903678364751308
Fwd Header Length,Bwd IAT Total,0.18892307731753166
Fwd Header Length.1,Bwd IAT Total,0.18892307731753166
Idle Min,Fwd Packet Length Std,0.18888903414416836
Subflow Fwd Packets,Bwd IAT Total,0.1888107008367874
Bwd IAT Total,Total Fwd Packets,0.18881070083678736
Min Packet Length,Flow IAT Std,0.18859933471061563
Active Min,Bwd IAT Total,0.18831027514969545
Idle Min,Total Length of Fwd Packets,0.1877976906821514
Idle Min,Subflow Fwd Bytes,0.1877976906821514
PSH Flag Count,Destination Port,0.18663262646211456
Active Std,Fwd Header Length,0.1866270869043897
Active Std,Fwd Header Length.1,0.1866270869043897
URG Flag Count,Fwd IAT Std,0.18526946527063032
Idle Mean,Packet Length Std,0.1852273816642274
Fwd IAT Max,Bwd Packet Length Mean,0.18507296423735753
Avg Bwd Segment Size,Fwd IAT Max,0.18507296423735534
Packet Length Variance,Fwd Packet Length Max,0.18490505991243564
Idle Min,Fwd Packet Length Mean,0.18475034430678788
Idle Min,Avg Fwd Segment Size,0.18475034430678788
Packet Length Mean,Fwd Packet Length Std,0.18465584112553232
Idle Min,Init_Win_bytes_forward,0.18455948735450609
Subflow Fwd Bytes,Packet Length Std,0.18273880060654185
Packet Length Std,Total Length of Fwd Packets,0.18273880060654182
Fwd IAT Std,Destination Port,0.18273542873748272
Idle Mean,Min Packet Length,0.18200815119847735
Flow IAT Mean,Fwd Packet Length Max,0.18200559874440803
Idle Max,Bwd Packet Length Max,0.18190579521988984
ACK Flag Count,Bwd IAT Max,0.1818438898577094
Flow IAT Mean,Fwd Packet Length Std,0.18172292359922437
Bwd IAT Max,Bwd Packet Length Max,0.18084584228211315
FIN Flag Count,Fwd Packets/s,0.18070587114035092
Flow IAT Max,Bwd Packet Length Max,0.18046517505661347
Active Mean,Subflow Fwd Bytes,0.18027323825010785
Active Mean,Total Length of Fwd Packets,0.18027323825010785
Bwd IAT Max,Fwd IAT Min,0.17946725603951158
Active Std,Bwd IAT Total,0.17937615564384304
URG Flag Count,Packet Length Variance,0.17928259393071774
Packet Length Mean,Total Length of Bwd Packets,0.1788574355648273
Subflow Bwd Bytes,Packet Length Mean,0.1788574355648273
Bwd IAT Max,Bwd Packet Length Std,0.17880953434602026
Idle Mean,Down/Up Ratio,0.17862551349954767
Bwd IAT Std,Bwd Packet Length Max,0.17840664885482882
Idle Max,Bwd Packet Length Std,0.1781173999714949
Bwd IAT Total,Bwd Packet Length Std,0.17797274283690198
FIN Flag Count,Flow Packets/s,0.17767217806842087
Average Packet Size,Fwd Packet Length Std,0.17720338053321455
Init_Win_bytes_forward,Bwd Header Length,0.1771779955800724
Flow IAT Max,Bwd Packet Length Std,0.17688492332889816
Subflow Bwd Bytes,Bwd Packet Length Max,0.17673614210013466
Bwd Packet Length Max,Total Length of Bwd Packets,0.17673614210013466
Fwd IAT Max,Bwd Packet Length Max,0.17642777502868148
Packet Length Mean,Fwd Packet Length Max,0.17590123000991645
Idle Std,Bwd Packet Length Mean,0.17504146549357655
Idle Std,Avg Bwd Segment Size,0.17504146549357444
Bwd IAT Std,Bwd Packet Length Std,0.174817153271933
Active Std,act_data_pkt_fwd,0.17425964916969158
URG Flag Count,Flow IAT Max,0.173992440922115
Avg Fwd Segment Size,Flow IAT Mean,0.17361260695672964
Flow IAT Mean,Fwd Packet Length Mean,0.17361260695672964
Idle Max,URG Flag Count,0.17305688773857794
Fwd IAT Max,Bwd Packet Length Std,0.1727793155211392
Init_Win_bytes_forward,Flow Duration,0.17244916780337274
Bwd IAT Total,Bwd Packet Length Max,0.17235492535295233
Subflow Bwd Bytes,Average Packet Size,0.17209403804080137
Average Packet Size,Total Length of Bwd Packets,0.17209403804080137
Idle Std,Bwd IAT Mean,0.17199960179906706
URG Flag Count,Packet Length Std,0.1719622522513629
Fwd PSH Flags,Bwd IAT Std,0.1713057295802883
SYN Flag Count,Bwd IAT Std,0.1713057295802883
Fwd IAT Total,Bwd Packet Length Mean,0.17126024103865878
Avg Bwd Segment Size,Fwd IAT Total,0.17126024103865672
Idle Std,Init_Win_bytes_forward,0.16913756217114778
Active Std,Bwd Header Length,0.16903442042164982
Subflow Fwd Bytes,Flow IAT Mean,0.16888559733319816
Flow IAT Mean,Total Length of Fwd Packets,0.16888559733319816
Init_Win_bytes_forward,Fwd IAT Total,0.1684093302180737
Active Min,Subflow Fwd Bytes,0.16839974119280043
Active Min,Total Length of Fwd Packets,0.16839974119280043
Average Packet Size,Fwd Packet Length Max,0.16822700046363892
ACK Flag Count,SYN Flag Count,0.16816246779485686
ACK Flag Count,Fwd PSH Flags,0.16816246779485686
Active Std,Subflow Bwd Packets,0.16801905746437829
Active Std,Total Backward Packets,0.16801905746437829
Flow IAT Min,Flow IAT Mean,0.1672746597557402
Fwd IAT Total,Bwd Packet Length Max,0.1672354077108824
Active Max,Fwd Header Length.1,0.16707745859814419
Active Max,Fwd Header Length,0.16707745859814419
Active Max,Max Packet Length,0.1670189029058363
act_data_pkt_fwd,Bwd IAT Total,0.16638422288245308
Bwd Packet Length Mean,Flow Duration,0.16596228462105547
Avg Bwd Segment Size,Flow Duration,0.1659622846210525
Idle Std,Bwd Packet Length Max,0.1653389585462143
Active Max,act_data_pkt_fwd,0.16523350642757917
Idle Mean,URG Flag Count,0.16508616997688444
Subflow Fwd Bytes,Fwd Header Length,0.16463365184303858
Fwd Header Length.1,Total Length of Fwd Packets,0.16463365184303858
Subflow Fwd Bytes,Fwd Header Length.1,0.16463365184303858
Fwd Header Length,Total Length of Fwd Packets,0.16463365184303858
Max Packet Length,Flow IAT Mean,0.16440345310428972
Packet Length Std,Flow IAT Std,0.16269440872314203
Idle Std,Bwd Packet Length Std,0.1626553783776848
Bwd Packet Length Max,Flow Duration,0.16265104554430634
Fwd PSH Flags,Bwd IAT Max,0.16261260605793526
SYN Flag Count,Bwd IAT Max,0.16261260605793526
Idle Mean,Bwd Packet Length Mean,0.16243128808924362
Idle Mean,Avg Bwd Segment Size,0.1624312880892412
Packet Length Mean,Total Length of Fwd Packets,0.16164775577509613
Subflow Fwd Bytes,Packet Length Mean,0.1616477557750961
Subflow Fwd Bytes,Total Fwd Packets,0.16127559923967474
Subflow Fwd Packets,Total Length of Fwd Packets,0.16127559923967474
Total Length of Fwd Packets,Total Fwd Packets,0.16127559923967474
Subflow Fwd Bytes,Subflow Fwd Packets,0.16127559923967474
Active Max,ACK Flag Count,0.16025959460499545
URG Flag Count,Fwd IAT Mean,0.15925508984858777
Packet Length Mean,Fwd Packet Length Mean,0.15858545148227937
Avg Fwd Segment Size,Packet Length Mean,0.15858545148227937
Fwd IAT Total,Bwd Packet Length Std,0.1585556140873691
Active Min,Fwd Packet Length Std,0.15794014900241024
Active Min,Fwd Packet Length Max,0.15761676777180636
Max Packet Length,Bwd IAT Std,0.15742357612191826
Init_Win_bytes_forward,Fwd Header Length.1,0.15656939929147537
Init_Win_bytes_forward,Fwd Header Length,0.15656939929147537
Active Mean,Fwd Packet Length Max,0.15615147923614697
Bwd IAT Min,Bwd IAT Total,0.15609775745797894
Active Mean,Fwd Packet Length Std,0.15597280967573318
Init_Win_bytes_forward,Bwd Packet Length Min,0.15594023954367406
URG Flag Count,Flow IAT Std,0.15555273515344756
Idle Mean,Bwd Packet Length Max,0.155512589700169
Fwd IAT Mean,Destination Port,0.15522323291562493
Idle Max,Destination Port,0.15511241218641353
Flow IAT Max,Destination Port,0.1549572773971663
Subflow Bwd Bytes,PSH Flag Count,0.15489985969116732
PSH Flag Count,Total Length of Bwd Packets,0.1548998596911673
Active Min,PSH Flag Count,0.1544821112707691
Bwd Packet Length Std,Flow Duration,0.15417380314725473
Active Std,Active Mean,0.15275754505628267
Max Packet Length,Bwd IAT Max,0.15220719462966137
Idle Mean,Bwd Packet Length Std,0.1519621308397525
Avg Fwd Segment Size,Average Packet Size,0.15178583171033813
Average Packet Size,Fwd Packet Length Mean,0.1517858317103381
SYN Flag Count,Bwd IAT Total,0.15153874611060322
Fwd PSH Flags,Bwd IAT Total,0.15153874611060322
Subflow Fwd Bytes,Average Packet Size,0.1514453676831297
Average Packet Size,Total Length of Fwd Packets,0.15144536768312966
min_seg_size_forward,Flow IAT Std,0.15095191610354658
Bwd Packet Length Std,Total Length of Bwd Packets,0.15082692810330176
Subflow Bwd Bytes,Bwd Packet Length Std,0.15082692810330176
act_data_pkt_fwd,Total Length of Fwd Packets,0.15068436610946254
act_data_pkt_fwd,Subflow Fwd Bytes,0.15068436610946254
Flow IAT Std,Bwd Packet Length Mean,0.1503034061428915
Avg Bwd Segment Size,Flow IAT Std,0.15030340614288906
Active Min,Avg Fwd Segment Size,0.1502975000703655
Active Min,Fwd Packet Length Mean,0.1502975000703655
Total Length of Fwd Packets,Total Backward Packets,0.15010158829163336
Subflow Bwd Packets,Subflow Fwd Bytes,0.15010158829163336
Subflow Bwd Packets,Total Length of Fwd Packets,0.15010158829163336
Subflow Fwd Bytes,Total Backward Packets,0.15010158829163336
Avg Bwd Segment Size,Fwd PSH Flags,0.14970665950675777
Avg Bwd Segment Size,SYN Flag Count,0.14970665950675777
SYN Flag Count,Bwd Packet Length Mean,0.14970665950675704
Fwd PSH Flags,Bwd Packet Length Mean,0.14970665950675704
Min Packet Length,Flow IAT Mean,0.14950360084298014
min_seg_size_forward,Flow IAT Mean,0.14948376097106994
Active Mean,PSH Flag Count,0.14896380524841216
URG Flag Count,Flow Duration,0.14887721819900093
Active Mean,Fwd Packet Length Mean,0.14804026713424845
Active Mean,Avg Fwd Segment Size,0.14804026713424845
Idle Std,Down/Up Ratio,0.1479482730500406
Subflow Bwd Bytes,Max Packet Length,0.14727306567494416
Max Packet Length,Total Length of Bwd Packets,0.14727306567494416
Flow IAT Std,Bwd Packet Length Max,0.1461394015069109
Fwd PSH Flags,Fwd Packet Length Max,0.14613005329558415
SYN Flag Count,Fwd Packet Length Max,0.14613005329558415
PSH Flag Count,Bwd IAT Max,0.14599304452040412
PSH Flag Count,Bwd IAT Std,0.1459639193843769
Fwd IAT Min,Flow IAT Min,0.14594677405340561
Flow IAT Std,Bwd Packet Length Std,0.14583070222311503
URG Flag Count,Fwd IAT Max,0.1450193898185253
SYN Flag Count,Total Length of Fwd Packets,0.1448301696428237
Fwd PSH Flags,Total Length of Fwd Packets,0.1448301696428237
Subflow Fwd Bytes,SYN Flag Count,0.14483016964282366
Subflow Fwd Bytes,Fwd PSH Flags,0.14483016964282366
Active Max,Fwd Packet Length Max,0.14464011600501878
Fwd Packets/s,Fwd PSH Flags,0.14409057338815134
SYN Flag Count,Fwd Packets/s,0.14409057338815132
Idle Mean,Destination Port,0.1438759363697285
Bwd IAT Total,Fwd IAT Min,0.14345031175644377
Init_Win_bytes_forward,Total Backward Packets,0.14303450267944381
Init_Win_bytes_forward,Subflow Bwd Packets,0.14303450267944381
Idle Std,Min Packet Length,0.14301605171449178
Bwd Header Length,Total Length of Fwd Packets,0.14299769843667814
Subflow Fwd Bytes,Bwd Header Length,0.14299769843667812
Active Max,Fwd Packet Length Std,0.1428871972604612
act_data_pkt_fwd,Fwd IAT Max,0.14184908947667052
Packet Length Std,Total Length of Bwd Packets,0.14153555893500602
Subflow Bwd Bytes,Packet Length Std,0.14153555893500602
Fwd IAT Max,Destination Port,0.14101478676866114
Avg Bwd Segment Size,Bwd IAT Mean,0.1408830356853196
Bwd IAT Mean,Bwd Packet Length Mean,0.14088303568531887
Subflow Bwd Packets,Flow Duration,0.14077946677493472
Total Backward Packets,Flow Duration,0.14077946677493472
Active Min,Packet Length Std,0.14041532418914612
SYN Flag Count,Bwd Packet Length Max,0.14003360634679485
Fwd PSH Flags,Bwd Packet Length Max,0.14003360634679485
Fwd IAT Max,Total Fwd Packets,0.13972513657308383
Subflow Fwd Packets,Fwd IAT Max,0.13972513657308383
Idle Min,Bwd IAT Min,0.13921427067364248
act_data_pkt_fwd,Flow IAT Max,0.13844999471455324
min_seg_size_forward,Flow IAT Max,0.13831311435420554
Bwd Header Length,Flow Duration,0.1382559865470178
Fwd IAT Std,Bwd Packet Length Mean,0.13818429517727968
Avg Bwd Segment Size,Fwd IAT Std,0.13818429517727743
min_seg_size_forward,Fwd IAT Std,0.13796344649365302
SYN Flag Count,Flow Packets/s,0.13794481162617436
Fwd PSH Flags,Flow Packets/s,0.13794481162617436
Idle Max,act_data_pkt_fwd,0.1378159140088954
Avg Bwd Segment Size,Fwd Packet Length Min,0.13771254771448452
Bwd Packet Length Mean,Fwd Packet Length Min,0.13771254771448374
Idle Min,Fwd IAT Min,0.1369562198872396
Flow IAT Max,Total Fwd Packets,0.13678073454355866
Subflow Fwd Packets,Flow IAT Max,0.13678073454355866
Subflow Bwd Packets,Fwd IAT Total,0.13647599540847824
Fwd IAT Total,Total Backward Packets,0.13647599540847824
Fwd IAT Std,Bwd Packet Length Min,0.13641073540406032
Fwd PSH Flags,Bwd Packet Length Std,0.13625981117081531
SYN Flag Count,Bwd Packet Length Std,0.13625981117081531
Idle Mean,act_data_pkt_fwd,0.13615160775084129
Packet Length Std,Fwd IAT Mean,0.13609873404377346
min_seg_size_forward,Init_Win_bytes_forward,0.13602840142917744
PSH Flag Count,SYN Flag Count,0.13599473544467347
PSH Flag Count,Fwd PSH Flags,0.13599473544467347
Idle Max,Subflow Fwd Packets,0.13559315670797095
Idle Max,Total Fwd Packets,0.13559315670797095
Active Mean,Packet Length Std,0.13526616502670175
Flow IAT Std,Bwd Packet Length Min,0.13499317622346796
Bwd Header Length,Fwd IAT Total,0.13457205151165194
Active Max,Total Backward Packets,0.1343113689926515
Active Max,Subflow Bwd Packets,0.1343113689926515
URG Flag Count,Max Packet Length,0.13416376993176482
Idle Min,Min Packet Length,0.13415348039408465
Active Max,Fwd Packet Length Mean,0.13407363699645727
Active Max,Avg Fwd Segment Size,0.13407363699645727
Init_Win_bytes_forward,Total Length of Bwd Packets,0.13395698204281073
Init_Win_bytes_forward,Subflow Bwd Bytes,0.13395698204281073
Idle Mean,Subflow Fwd Packets,0.1337644256671465
Idle Mean,Total Fwd Packets,0.1337644256671465
Idle Max,min_seg_size_forward,0.13315056781515217
Min Packet Length,Fwd Packet Length Std,0.13300871649867785
Bwd Packets/s,Fwd Packets/s,0.13291572459588805
Fwd IAT Std,Bwd Packet Length Max,0.1329065290374716
Min Packet Length,Fwd Packet Length Max,0.1326955189861126
Down/Up Ratio,Bwd IAT Std,0.13186743998501008
Active Mean,Subflow Fwd Packets,0.13156424070017259
Active Mean,Total Fwd Packets,0.13156424070017259
Active Max,Bwd Header Length,0.13122828549125667
Fwd IAT Std,Bwd Packet Length Std,0.131228277474707
Flow Duration,Destination Port,0.1309486936743333
Flow IAT Max,Bwd Packet Length Min,0.13091445720284647
Bwd Packet Length Min,Flow Duration,0.13052975238004194
Bwd Packet Length Max,Fwd Packet Length Min,0.1299581325597802
SYN Flag Count,Bwd IAT Mean,0.1296254244419736
Fwd PSH Flags,Bwd IAT Mean,0.1296254244419736
act_data_pkt_fwd,Down/Up Ratio,0.12953744182970217
min_seg_size_forward,Fwd IAT Max,0.12953090377014975
Min Packet Length,Destination Port,0.12898206195592074
Bwd IAT Mean,Bwd Packet Length Max,0.12895214015139703
Flow IAT Mean,Bwd Packet Length Min,0.12888607104786662
Subflow Fwd Bytes,Min Packet Length,0.12879202711254203
Min Packet Length,Total Length of Fwd Packets,0.12879202711254203
Idle Min,Down/Up Ratio,0.12814332196842607
Idle Min,URG Flag Count,0.1281292995781629
Flow IAT Std,Destination Port,0.1274157171132317
Packet Length Variance,Fwd Packet Length Mean,0.12724104751697166
Avg Fwd Segment Size,Packet Length Variance,0.12724104751697166
Min Packet Length,Fwd Packet Length Mean,0.12712683620138457
Avg Fwd Segment Size,Min Packet Length,0.1271268362013845
Active Min,Bwd Packet Length Mean,0.12692498342211517
Active Min,Avg Bwd Segment Size,0.12692498342211397
Idle Mean,min_seg_size_forward,0.1269203992958986
Bwd IAT Mean,Bwd Packet Length Std,0.12681960231587255
Bwd Packet Length Std,Fwd Packet Length Min,0.1262873599349472
PSH Flag Count,Bwd Header Length,0.12504161595546864
PSH Flag Count,Fwd Packet Length Min,0.12489444591257182
Idle Max,Bwd Packet Length Min,0.12462690850715573
Idle Mean,Bwd IAT Min,0.12437942354737176
Fwd IAT Total,Bwd Packet Length Min,0.12430264198564862
Fwd IAT Max,Bwd Packet Length Min,0.12412502307311485
Init_Win_bytes_forward,Destination Port,0.12407190101912183
Active Mean,Bwd Packet Length Mean,0.12291603201497783
Active Mean,Avg Bwd Segment Size,0.12291603201497629
Min Packet Length,Fwd IAT Min,0.12260779006423954
Active Max,PSH Flag Count,0.12082491375872048
Subflow Bwd Packets,PSH Flag Count,0.12043761213211611
PSH Flag Count,Total Backward Packets,0.12043761213211611
Min Packet Length,Bwd IAT Std,0.11967861181143297
Active Min,Bwd Packet Length Max,0.11962968339791948
Idle Mean,Bwd Packet Length Min,0.11948606354303092
Idle Mean,Fwd IAT Min,0.11926214045630104
Bwd IAT Max,Total Backward Packets,0.11914865063588542
Subflow Bwd Packets,Bwd IAT Max,0.11914865063588542
act_data_pkt_fwd,Fwd IAT Std,0.11908930937587399
URG Flag Count,Flow IAT Mean,0.1189798395999364
Active Mean,act_data_pkt_fwd,0.11864245648313235
Down/Up Ratio,Total Fwd Packets,0.11863996280789628
Subflow Fwd Packets,Down/Up Ratio,0.11863996280789628
Fwd Header Length.1,Fwd IAT Max,0.11856640175908155
Fwd Header Length,Fwd IAT Max,0.11856640175908155
Idle Std,Packet Length Mean,0.11814421862884338
Active Std,Flow Duration,0.11804147392293889
Active Std,Fwd IAT Total,0.11720419211518628
Subflow Fwd Packets,Fwd IAT Std,0.11682074101174932
Fwd IAT Std,Total Fwd Packets,0.11682074101174932
Idle Std,URG Flag Count,0.11644707246422922
Active Min,Bwd Packet Length Std,0.11621335484599943
Active Mean,Bwd Packet Length Max,0.1160651314759119
Fwd Header Length,Flow IAT Max,0.11570652529556931
Fwd Header Length.1,Flow IAT Max,0.11570652529556931
act_data_pkt_fwd,Flow IAT Std,0.11439626234853194
Idle Max,Fwd Header Length.1,0.11433407488894554
Idle Max,Fwd Header Length,0.11433407488894554
Idle Std,Destination Port,0.1141283682569854
Active Max,Packet Length Std,0.1138287344845719
Idle Mean,Fwd Header Length.1,0.11358631545636519
Idle Mean,Fwd Header Length,0.11358631545636519
Min Packet Length,Bwd IAT Min,0.11330615587029062
Packet Length Variance,Total Length of Fwd Packets,0.11251971915465905
Subflow Fwd Bytes,Packet Length Variance,0.112519719154659
Active Max,Bwd IAT Mean,0.11245058514612098
Active Mean,Min Packet Length,0.11173896477179007
Active Mean,Bwd Packet Length Std,0.11170611269672742
Idle Min,act_data_pkt_fwd,0.11167568177050027
min_seg_size_forward,PSH Flag Count,0.11165653113009812
ACK Flag Count,Total Length of Bwd Packets,0.11154515695816887
Subflow Bwd Bytes,ACK Flag Count,0.11154515695816886
Idle Min,Packet Length Std,0.111115653026149
Subflow Bwd Packets,Packet Length Mean,0.11104798505623932
Packet Length Mean,Total Backward Packets,0.11104798505623932
Active Std,Subflow Bwd Bytes,0.11095094515004383
Active Std,Total Length of Bwd Packets,0.11095094515004383
Subflow Fwd Packets,Flow IAT Std,0.11072501363197025
Flow IAT Std,Total Fwd Packets,0.11072501363197022
Active Min,Min Packet Length,0.11052364137442852
ACK Flag Count,Bwd IAT Total,0.11041634162166974
Active Mean,Down/Up Ratio,0.11032844910264623
Active Max,Min Packet Length,0.11031908753649111
Active Mean,Fwd Header Length.1,0.1102937810883644
Active Mean,Fwd Header Length,0.1102937810883644
Active Min,Down/Up Ratio,0.10954129263979048
URG Flag Count,Fwd IAT Total,0.10935445319415091
Idle Min,Total Fwd Packets,0.10933883120933786
Idle Min,Subflow Fwd Packets,0.10933883120933786
Packet Length Variance,Fwd Packet Length Min,0.1092437900643396
Active Max,Down/Up Ratio,0.10858007334934043
Active Mean,Bwd IAT Mean,0.10840071310344426
Max Packet Length,Bwd IAT Total,0.1083889395646815
Init_Win_bytes_forward,Subflow Fwd Packets,0.10813323435863549
Init_Win_bytes_forward,Total Fwd Packets,0.10813323435863549
Bwd Header Length,Bwd IAT Max,0.107545957038291
Packet Length Variance,Total Length of Bwd Packets,0.10741348560977429
Subflow Bwd Bytes,Packet Length Variance,0.10741348560977429
Flow Packets/s,Destination Port,0.10674808099402916
Fwd Packets/s,Destination Port,0.10672266448135287
Active Min,Bwd IAT Mean,0.10627067814803133
Idle Min,Destination Port,0.10584582318484251
